VM_Region,Speedtest_Server_IP,Which_Network_Better
US-Central1-a,203.187.255.90,about_the_same
US-Central1-a,201.95.254.127,about_the_same
US-Central1-a,160.86.253.23,about_the_same
US-Central1-a,175.100.95.90,about_the_same
US-Central1-a,202.75.250.35,about_the_same
US-Central1-a,118.143.110.58,about_the_same
US-Central1-a,202.144.210.9,about_the_same
US-Central1-a,118.98.104.234,about_the_same
US-Central1-a,203.29.125.155,about_the_same
US-Central1-a,87.225.45.35,about_the_same
US-Central1-a,45.63.2.66,premium_better
US-Central1-a,201.96.126.225,premium_better
US-Central1-a,196.202.252.34,premium_better
US-Central1-a,117.131.215.238,premium_better
US-Central1-a,160.86.253.23,premium_better
US-Central1-a,2.113.55.165,premium_better
US-Central1-a,113.164.24.102,premium_better
US-Central1-a,85.159.239.121,premium_better
US-Central1-a,201.117.252.21,premium_better
US-Central1-a,160.86.153.142,premium_better
US-Central1-a,66.45.242.18,standard_better
US-Central1-a,93.20.126.204,standard_better
US-Central1-a,187.19.199.35,standard_better
US-Central1-a,45.152.180.150,standard_better
US-Central1-a,191.241.32.134,standard_better
US-Central1-a,164.163.24.13,standard_better
US-Central1-a,189.36.192.189,standard_better
US-Central1-a,138.122.80.47,standard_better
US-Central1-a,170.84.92.42,standard_better
US-Central1-a,168.194.12.134,standard_better
US-East1-b,177.38.239.18,about_the_same
US-East1-b,1.55.119.15,about_the_same
US-East1-b,80.187.136.31,about_the_same
US-East1-b,109.241.239.66,about_the_same
US-East1-b,190.80.0.36,about_the_same
US-East1-b,71.93.249.42,about_the_same
US-East1-b,112.198.111.39,about_the_same
US-East1-b,89.216.2.122,about_the_same
US-East1-b,37.50.200.7,about_the_same
US-East1-b,69.241.14.2,about_the_same
US-East1-b,86.127.118.246,premium_better
US-East1-b,81.196.122.10,premium_better
US-East1-b,196.28.56.14,premium_better
US-East1-b,86.123.175.221,premium_better
US-East1-b,187.157.253.185,premium_better
US-East1-b,198.142.236.4,premium_better
US-East1-b,160.86.253.23,premium_better
US-East1-b,80.12.60.250,premium_better
US-East1-b,198.142.236.132,premium_better
US-East1-b,160.86.153.142,premium_better
US-East1-b,62.103.146.68,standard_better
US-East1-b,69.241.94.10,standard_better
US-East1-b,187.19.199.35,standard_better
US-East1-b,139.5.241.22,standard_better
US-East1-b,187.122.251.66,standard_better
US-East1-b,62.39.228.2,standard_better
US-East1-b,79.170.52.30,standard_better
US-East1-b,168.232.45.21,standard_better
US-East1-b,103.72.8.14,standard_better
Asia-Northeast1-b,195.191.201.98,about_the_same
Asia-Northeast1-b,198.166.40.25,about_the_same
Asia-Northeast1-b,89.143.198.181,about_the_same
Asia-Northeast1-b,207.219.22.171,about_the_same
Asia-Northeast1-b,200.87.100.18,about_the_same
Asia-Northeast1-b,202.151.87.131,about_the_same
Asia-Northeast1-b,62.87.67.36,about_the_same
Asia-Northeast1-b,184.182.243.145,about_the_same
Asia-Northeast1-b,208.104.203.26,about_the_same
Asia-Northeast1-b,116.250.254.54,about_the_same
Asia-Northeast1-b,118.98.83.42,premium_better
Asia-Northeast1-b,118.98.104.234,premium_better
Asia-Northeast1-b,122.169.240.154,premium_better
Asia-Northeast1-b,122.160.129.138,premium_better
Asia-Northeast1-b,191.243.146.90,premium_better
Asia-Northeast1-b,61.191.111.11,premium_better
Asia-Northeast1-b,122.229.136.10,premium_better
Asia-Northeast1-b,202.166.127.78,premium_better
Asia-Northeast1-b,182.150.190.66,premium_better
Asia-Northeast1-b,218.70.19.98,premium_better
Asia-Northeast1-b,109.126.0.10,standard_better
Asia-Northeast1-b,109.110.38.6,standard_better
Asia-Northeast1-b,212.220.9.219,standard_better
Asia-Northeast1-b,87.103.236.58,standard_better
Asia-Northeast1-b,82.178.33.35,standard_better
Asia-Northeast1-b,221.179.46.218,standard_better
Asia-Northeast1-b,200.225.223.131,standard_better
Asia-Northeast1-b,218.201.34.46,standard_better
Asia-Northeast1-b,46.254.246.8,standard_better
Asia-Northeast1-b,185.112.104.40,standard_better
Europe-West1-b,187.130.190.73,about_the_same
Europe-West1-b,181.115.1.114,about_the_same
Europe-West1-b,144.130.167.198,about_the_same
Europe-West1-b,144.130.165.118,about_the_same
Europe-West1-b,201.95.254.127,about_the_same
Europe-West1-b,200.32.193.2,about_the_same
Europe-West1-b,80.12.60.250,about_the_same
Europe-West1-b,94.25.107.7,about_the_same
Europe-West1-b,81.22.16.158,about_the_same
Europe-West1-b,193.41.63.226,about_the_same
Europe-West1-b,207.246.86.33,premium_better
Europe-West1-b,213.184.238.32,premium_better
Europe-West1-b,185.38.15.92,premium_better
Europe-West1-b,80.12.60.250,premium_better
Europe-West1-b,203.39.103.129,premium_better
Europe-West1-b,198.142.236.4,premium_better
Europe-West1-b,144.130.165.118,premium_better
Europe-West1-b,150.101.172.195,premium_better
Europe-West1-b,150.101.135.90,premium_better
Europe-West1-b,200.148.46.3,premium_better
Europe-West1-b,103.211.23.158,standard_better
Europe-West1-b,103.2.239.36,standard_better
Europe-West1-b,203.187.215.35,standard_better
Europe-West1-b,103.88.221.254,standard_better
Europe-West1-b,203.192.198.234,standard_better
Europe-West1-b,116.74.100.7,standard_better
Europe-West1-b,103.239.84.130,standard_better
Europe-West1-b,203.171.240.22,standard_better
Europe-West1-b,45.116.3.126,standard_better
Europe-West1-b,45.112.0.51,standard_better
